id,motif,probability,motif_index
677,49,0.005507472902536392,2
677,164,0.002730537671595812,3
677,147,0.0026826695539057255,4
677,86,0.002667228225618601,5
677,46,0.0026440187357366085,6
677,64,0.0026375846937298775,7
677,152,0.0025233528576791286,8
677,44,0.002500890986993909,9
677,93,0.0024797460064291954,10
680,182,0.6622175574302673,1
680,171,0.22123421728610992,2
680,49,0.004900298081338406,3
680,164,0.0024295079056173563,4
680,147,0.0023869171272963285,5
680,86,0.0023731780238449574,6
680,46,0.002352527342736721,7
680,64,0.0023468025028705597,8
680,152,0.002245164243504405,9
680,44,0.002225178759545088,10
700,180,0.4431518316268921,1
700,139,0.26277631521224976,2
700,54,0.21601662039756775,3
700,49,0.03795493766665459,4
700,160,0.02004961483180523,5
700,3,0.015601549297571182,6
700,5,0.0022373616229742765,7
706,11,0.46663427352905273,1
706,162,0.26916423439979553,2
706,179,0.15470854938030243,3
706,49,0.10822238773107529,4
715,95,0.5489394664764404,1
715,156,0.4469606876373291,2
736,180,0.721860945224762,1
736,54,0.2093571424484253,2
736,49,0.06512580811977386,3
737,62,0.9960727095603943,1
742,62,0.503200888633728,1
742,156,0.489605188369751,2
755,31,0.4144642949104309,1
755,168,0.30394428968429565,2
755,159,0.17788073420524597,3
755,66,0.10018492490053177,4
759,98,0.7708032131195068,1
759,131,0.1946236491203308,2
759,60,0.02291950397193432,3
759,10,0.007651238702237606,4
760,164,0.8081084489822388,1
760,159,0.1864887923002243,2
766,104,0.9905761480331421,1
770,177,0.37608546018600464,1
770,49,0.3486844599246979,2
770,11,0.11620493978261948,3
770,113,0.07646947354078293,4
770,90,0.039764076471328735,5
770,162,0.03976079076528549,6
784,44,0.4750570058822632,1
784,194,0.3847039043903351,2
784,195,0.13862016797065735,3
789,172,0.7350133061408997,1
789,49,0.12373944371938705,2
789,70,0.07648088037967682,3
789,169,0.03530624136328697,4
789,3,0.01767617091536522,5
789,125,0.005909916944801807,6
791,43,0.46572747826576233,1
791,195,0.28704118728637695,2
791,138,0.09505531191825867,3
791,114,0.09504754841327667,4
791,66,0.05325169116258621,5
815,166,0.4658052325248718,1
815,138,0.3925553560256958,2
815,163,0.13609309494495392,3
824,25,0.4173310697078705,1
824,97,0.3738657832145691,2
824,65,0.1934574991464615,3
824,104,0.013052552007138729,4
836,69,0.9105465412139893,1
836,117,0.08218731731176376,2
840,82,0.9883158206939697,1
843,187,0.7954283952713013,1
843,87,0.19885841012001038,2
849,105,0.6962682008743286,1
849,100,0.26888951659202576,2
849,18,0.027616649866104126,3
859,192,0.3362429440021515,1
859,83,0.25881654024124146,2
859,86,0.18143518269062042,3
859,67,0.1172487661242485,4
859,47,0.08407928794622421,5
859,21,0.017707666382193565,6
859,9,0.0022208939772099257,7
867,50,0.5082482695579529,1
867,155,0.3332841098308563,2
867,65,0.1555364727973938,3
894,98,0.8338671922683716,1
894,18,0.0947851613163948,2
894,111,0.06163685768842697,3
894,19,0.004771542735397816,4
900,192,0.2909863293170929,1
900,51,0.27340981364250183,2
900,144,0.2187272310256958,3
900,4,0.09374041855335236,4
900,47,0.08008616417646408,5
900,66,0.039084747433662415,6
904,2,0.33635151386260986,1
904,130,0.22220414876937866,2
904,175,0.16285324096679688,3
904,144,0.11110494285821915,4
904,5,0.09284348785877228,5
904,47,0.07306638360023499,6
910,134,0.474098801612854,1
910,90,0.28382453322410583,2
910,5,0.09999248385429382,3
910,47,0.07743324339389801,4
910,67,0.054841458797454834,5
910,51,0.0032416677568107843,6
910,197,0.0032353829592466354,7
916,18,0.374372273683548,1
916,81,0.3119499385356903,2
916,60,0.1872904896736145,3
916,107,0.09374859929084778,4
921,51,0.5309370756149292,1
921,192,0.4217761158943176,2
921,66,0.04469229653477669,3
949,180,0.587412416934967,1
949,54,0.26065489649772644,2
949,36,0.12059583514928818,3
949,139,0.027249803766608238,4
964,60,0.7033431529998779,1
964,49,0.23692402243614197,2
971,156,0.8342778086662292,1
971,62,0.1569834053516388,2
977,3,0.47907328605651855,1
977,49,0.31537213921546936,2
977,113,0.09594712406396866,3
977,70,0.06852483749389648,4
977,19,0.027468379586935043,5
980,23,0.45363837480545044,1
980,100,0.43059656023979187,2
980,119,0.10769514739513397,3
989,3,0.48815274238586426,1
989,49,0.37223368883132935,2
989,81,0.09300673007965088,3
989,113,0.038823068141937256,4
1029,43,0.7377134561538696,1
1029,161,0.23298335075378418,2
1029,66,0.02592984400689602,3
1037,130,0.6292521953582764,1
1037,2,0.20396097004413605,2
1037,107,0.13929536938667297,3
1037,47,0.0199213158339262,4
1037,66,0.002522325376048684,5
1037,27,0.0025038220919668674,6
1044,43,0.45344656705856323,1
1044,161,0.28165751695632935,2
1044,138,0.09295562654733658,3
1044,9,0.08450149744749069,4
1044,66,0.039468634873628616,5
1044,31,0.03662405163049698,6
1044,15,0.005652875639498234,7
1044,194,0.0028363207820802927,8
1076,135,0.3118785321712494,1
1076,198,0.3005369007587433,2
1076,94,0.12286593019962311,3
1076,47,0.10019413381814957,4
1076,136,0.04726002365350723,5
1076,186,0.045368492603302,6
1076,182,0.03970499336719513,7
